State Name,County Name,Date Local,Local Site Name,Arithmetic Mean_ozone,1st Max Value_ozone,1st Max Hour_ozone,Arithmetic Mean_so2,1st Max Value_so2,1st Max Hour_so2,Arithmetic Mean_co,1st Max Value_co,1st Max Hour_co,Arithmetic Mean_no2,1st Max Value_no2,1st Max Hour_no2
Arizona,Maricopa,2024-03-23,JLG SUPERSITE,0.040765,0.047,11,0.725,1.4,10,0.354167,0.7,2,10.75,37.9,1
Arizona,Maricopa,2024-03-24,CENTRAL PHOENIX,0.041765,0.047,9,0.0,0.0,0,0.0,0.0,0,2.583333,8.0,19
Arizona,Maricopa,2024-03-24,JLG SUPERSITE,0.04,0.043,8,0.516667,1.5,12,0.2,0.2,0,2.925,7.0,21
Arizona,Maricopa,2024-03-25,CENTRAL PHOENIX,0.042882,0.046,12,0.0,0.0,0,0.0,0.0,0,6.208333,17.0,6
Arizona,Maricopa,2024-03-25,JLG SUPERSITE,0.039824,0.043,11,0.494737,1.4,10,0.2,0.2,0,4.754167,11.4,10
Arizona,Maricopa,2024-03-26,CENTRAL PHOENIX,0.042588,0.048,12,0.0,0.0,0,0.0,0.0,0,4.916667,11.0,5
Arizona,Maricopa,2024-03-26,JLG SUPERSITE,0.040529,0.046,12,0.283333,0.9,19,0.2,0.2,0,4.257143,9.7,6
Arizona,Maricopa,2024-03-27,CENTRAL PHOENIX,0.036941,0.054,12,0.0,0.0,0,0.025,0.2,22,9.75,34.0,22
Arizona,Maricopa,2024-03-27,JLG SUPERSITE,0.031235,0.053,11,0.338095,1.0,23,0.258333,0.4,22,10.166667,31.1,22
Arizona,Maricopa,2024-03-28,CENTRAL PHOENIX,0.035118,0.053,11,0.083333,1.0,6,0.158333,0.3,22,16.125,47.0,22
Arizona,Maricopa,2024-03-28,JLG SUPERSITE,0.034294,0.054,11,0.247059,0.9,2,0.4375,0.6,4,18.420833,40.7,21
Arizona,Maricopa,2024-03-29,CENTRAL PHOENIX,0.035471,0.048,10,0.166667,1.0,8,0.125,0.4,0,11.791667,26.0,6
Arizona,Maricopa,2024-03-29,JLG SUPERSITE,0.033412,0.047,10,0.425,1.0,22,0.295833,0.5,0,9.983333,23.9,23
Arizona,Maricopa,2024-03-30,CENTRAL PHOENIX,0.05,0.058,14,0.208333,1.0,0,0.025,0.1,0,6.291667,22.0,0
Arizona,Maricopa,2024-03-30,JLG SUPERSITE,0.045765,0.052,11,0.791667,1.0,8,0.241667,0.4,1,5.229167,20.0,0
Arizona,Maricopa,2024-03-31,CENTRAL PHOENIX,0.040647,0.044,8,0.0,0.0,0,0.0,0.0,0,3.333333,6.0,3
Arizona,Maricopa,2024-03-31,JLG SUPERSITE,0.040353,0.045,9,0.741667,0.9,3,0.2,0.2,0,3.283333,5.4,3
Arizona,Maricopa,2024-04-01,CENTRAL PHOENIX,0.032118,0.044,11,0.0,0.0,0,0.0125,0.1,21,8.333333,26.0,21
Arizona,Maricopa,2024-04-01,JLG SUPERSITE,0.029706,0.044,11,0.7,0.8,12,0.208333,0.3,22,7.329167,25.7,22
Arizona,Maricopa,2024-04-02,CENTRAL PHOENIX,0.029588,0.045,12,0.052632,1.0,8,0.1,0.1,0,11.863636,33.0,23
Arizona,Maricopa,2024-04-02,JLG SUPERSITE,0.028529,0.046,11,0.704167,1.0,10,0.295833,0.4,1,11.8375,28.8,22
Arizona,Maricopa,2024-04-03,CENTRAL PHOENIX,0.034588,0.052,12,0.041667,1.0,22,0.179167,0.3,2,17.291667,40.0,22
Arizona,Maricopa,2024-04-03,JLG SUPERSITE,0.033235,0.054,12,0.818182,1.1,12,0.308333,0.4,0,14.090909,40.0,23
Arizona,Maricopa,2024-04-04,CENTRAL PHOENIX,0.048235,0.055,11,0.083333,1.0,7,0.1125,0.3,0,9.791667,25.0,6
Arizona,Maricopa,2024-04-04,JLG SUPERSITE,0.048118,0.057,10,0.8625,1.1,20,0.3125,0.5,0,10.591667,34.9,0
Arizona,Maricopa,2024-04-05,CENTRAL PHOENIX,0.046471,0.049,12,0.0,0.0,0,0.0,0.0,0,4.375,14.0,6
Arizona,Maricopa,2024-04-05,JLG SUPERSITE,0.044588,0.048,11,0.779167,0.9,0,0.2,0.2,0,4.995455,12.1,7
Arizona,Maricopa,2024-04-06,CENTRAL PHOENIX,0.035412,0.05,10,0.041667,1.0,21,0.016667,0.2,23,5.708333,34.0,23
Arizona,Maricopa,2024-04-06,JLG SUPERSITE,0.033235,0.05,10,0.679167,0.8,2,0.2125,0.4,23,6.95,29.6,22
Arizona,Maricopa,2024-04-07,CENTRAL PHOENIX,0.035353,0.052,11,0.041667,1.0,23,0.195833,0.3,0,12.375,33.0,23
Arizona,Maricopa,2024-04-07,JLG SUPERSITE,0.035,0.055,11,0.7625,1.0,21,0.345833,0.5,1,13.016667,31.8,21
